id,keyword,cluster_id,cluster_name,maps_to_article,is_primary,priority,funnel_stage,article_type,search_intent,target_reader,suggested_slug,cannibalization_note,cta_policy,article_policy
11,オリジナルAI 作り方,C2,オリジナルAI,A02,secondary,A,比較検討,導入ガイド,オリジナルAIの作り方の手順を知りたい,自分で作れるか不安な担当者,original-ai,"作り方は将来単独記事化候補。当面A02の作り方セクションで対応",難しい開発なしで始める導線,A02の作り方H2で3パターン提示
12,オリジナルAI 作成,C2,オリジナルAI,A02,secondary,A,比較検討,導入ガイド,オリジナルAIを作成する方法を知りたい,中小企業の担当者,original-ai,"作り方KW11とほぼ同義。A02に統合",難しい開発なしで始める導線,A02本文・FAQで使用
13,会社名 AIチャット,C3,ブランド・会社名で使うAIチャット,A06,primary,A,導入検討,使い方,会社名を使ったAIチャットを持ちたい,自社らしさを出したい担当者,branded-ai-chat,"C3代表KW。ブランド/ロゴ/専用URL/会社名を全て統合",会社名・ロゴ・専用URLで自社専用風に,ナイリー独自訴求の中核記事
14,ブランドAIチャット,C3,ブランド・会社名で使うAIチャット,A06,secondary,A,導入検討,使い方,ブランド名のAIチャットを作りたい,ブランドを持つ事業者,branded-ai-chat,"会社名AIチャットと同義。A06に統合",ブランド名・ロゴで使う導線,A06本文で併記
15,ロゴ入り AIチャット,C3,ブランド・会社名で使うAIチャット,A06,secondary,A,導入検討,使い方,ロゴを入れたAIチャットにしたい,自社らしさを出したい担当者,branded-ai-chat,"A06に統合。ロゴ設定の具体例で使う",ロゴ設定の訴求,A06のロゴ設定セクションで使用
16,専用URL AIチャット,C3,ブランド・会社名で使うAIチャット,A06,secondary,A,導入検討,使い方,専用URLのAIチャットを持ちたい,顧客に案内したい担当者,branded-ai-chat,"A06に統合。専用URLで案内の文脈",専用URLで案内できる訴求,A06の専用URLセクションで使用
17,AIチャット 会社名,C3,ブランド・会社名で使うAIチャット,A06,secondary,B,導入検討,使い方,AIチャットに会社名を付けたい,自社らしさを出したい担当者,branded-ai-chat,"KW13と語順違いの同義。A06に統合",会社名で使う導線,A06本文で併記
18,自社AI 作り方,C2,オリジナルAI,A02,secondary,A,比較検討,導入ガイド,自社のAIの作り方を知りたい,中小企業の担当者,original-ai,"オリジナルAI作り方と近い。A02に統合しA01へ内部リンク",難しい開発なしで始める導線,A02作り方セクションで使用
19,ChatGPT 自社専用,C4,ChatGPTを会社で使う,A07,primary,A,比較検討,各AI別解説,ChatGPTを自社専用のように使う方法を知りたい,ChatGPT利用者の担当者,chatgpt-for-company,"C4代表。会社専用/オリジナル/会社で使うを統合",会社名・ロゴで自社専用風に使う,各AI別記事の中核(ChatGPT)
20,ChatGPT 会社専用,C4,ChatGPTを会社で使う,A07,secondary,A,比較検討,各AI別解説,ChatGPTを会社専用で使いたい,ChatGPT利用者の担当者,chatgpt-for-company,"KW19と同義。A07に統合",会社で自社専用風に使う導線,A07本文で併記
21,ChatGPT オリジナル,C4,ChatGPTを会社で使う,A07,secondary,A,比較検討,各AI別解説,ChatGPTでオリジナルのAIを作りたい,ChatGPT利用者の担当者,chatgpt-for-company,"A02(オリジナルAI)と近い。ChatGPT明示でA07、A02へ内部リンク",好きな名前で使う導線,A07本文。A02へ内部リンク
22,ChatGPT 会社で使う,C4,ChatGPTを会社で使う,A07,secondary,A,比較検討,各AI別解説,会社でChatGPTを使う方法・注意点を知りたい,ChatGPT利用者の担当者,chatgpt-for-company,"法人利用(A08)と意図が近い。使い方=A07、契約/管理=A08に振り分け",会社で安心して使う導線,A07本文。A08へ内部リンク
23,ChatGPT 法人利用,C4b,ChatGPT法人・社内利用,A08,primary,A,比較検討,各AI別解説,ChatGPTを法人で利用する方法・プラン・注意点を知りたい,情報管理を気にする担当者,chatgpt-business-use,"A07と近接。契約形態/情報管理の視点でA08に分離",会社で安全に使う導線,法人利用の論点(プラン/管理/情報)を扱う
24,ChatGPT 社内利用,C4b,ChatGPT法人・社内利用,A08,secondary,B,比較検討,各AI別解説,社内でChatGPTを使う際のルールや注意点を知りたい,情報管理を気にする担当者,chatgpt-business-use,"KW23と近い。A08に統合",社内で安心して使う導線,A08の社内ルールセクションで使用
25,Claude 自社専用,C5,Claudeを会社で使う,A09,secondary,A,比較検討,各AI別解説,Claudeを自社専用のように使いたい,Claudeに関心がある担当者,claude-for-company,"A07(ChatGPT)と構成は並行。Claude固有でA09",会社名・ロゴで使う導線,A09本文で使用
26,Claude オリジナル,C5,Claudeを会社で使う,A09,secondary,B,比較検討,各AI別解説,Claudeでオリジナルのように使いたい,Claudeに関心がある担当者,claude-for-company,"A02へ内部リンク。A09に統合",好きな名前で使う導線,A09本文で使用
27,Claude 会社で使う,C5,Claudeを会社で使う,A09,primary,A,比較検討,各AI別解説,会社でClaudeを使う方法を知りたい,Claudeに関心がある担当者,claude-for-company,"C5代表KW",会社で使う導線,各AI別記事(Claude)の中核
28,Gemini 自社専用,C6,Geminiを会社で使う,A10,secondary,B,比較検討,各AI別解説,Geminiを自社専用のように使いたい,Geminiに関心がある担当者,gemini-for-company,"A07/A09と並行構成。Gemini固有でA10",会社名・ロゴで使う導線,A10本文で使用
29,Gemini オリジナル,C6,Geminiを会社で使う,A10,secondary,B,比較検討,各AI別解説,Geminiでオリジナルのように使いたい,Geminiに関心がある担当者,gemini-for-company,"A02へ内部リンク。A10に統合",好きな名前で使う導線,A10本文で使用
30,Gemini 会社で使う,C6,Geminiを会社で使う,A10,primary,B,比較検討,各AI別解説,会社でGeminiを使う方法を知りたい,Geminiに関心がある担当者,gemini-for-company,"C6代表KW",会社で使う導線,各AI別記事(Gemini)の中核
31,AI相談窓口,C7,AI相談窓口,A05,primary,S,導入検討,相談窓口化,相談窓口をAIにしたい・AI相談窓口とは何か知りたい,問い合わせ対応に課題がある担当者,ai-consultation-desk,"C7代表。AI 相談窓口(空白)は完全同義",○○相談窓口を専用URLで作る導線,相談窓口AI化の中核記事
32,AI 相談窓口,C7,AI相談窓口,A05,secondary,S,導入検討,相談窓口化,相談窓口をAI化したい,問い合わせ対応に課題がある担当者,ai-consultation-desk,"KW31と空白違いの完全同義。絶対に別記事化しない",○○相談窓口を作る導線,A05に完全統合(表記ゆれ)
33,相談窓口 AI化,C7,AI相談窓口,A05,secondary,A,導入検討,相談窓口化,既存の相談窓口をAI化する方法を知りたい,相談窓口を運用中の担当者,ai-consultation-desk,"A05に統合",相談窓口をAI化する導線,A05のやり方セクションで使用
34,AIチャット 相談窓口,C7,AI相談窓口,A05,secondary,A,導入検討,相談窓口化,AIチャットで相談窓口を作りたい,問い合わせ対応に課題がある担当者,ai-consultation-desk,"A05に統合",AIチャットで相談窓口を作る導線,A05本文で使用
35,問い合わせ窓口 AI,C8,問い合わせ対応のAI化,A13,secondary,A,導入検討,悩み解決,問い合わせ窓口をAIにしたい,問い合わせ件数が多い担当者,inquiry-handling-ai,"A05(相談窓口)と近い。窓口の名前付け=A05、対応業務の効率化=A13に振り分け",よくある質問をAIで一次対応,A13本文。A05へ内部リンク
36,社内相談窓口 AI,C8b,社内ヘルプデスクのAI化,A15,primary,B,導入検討,相談窓口化,社内の相談窓口(総務/情シス等)をAIにしたい,バックオフィス担当者,internal-helpdesk-ai,"A05(社外向け)と分離。社内向け論点でA15",社内向けAI相談窓口の導線,社内ヘルプデスク文脈の中核
37,AI問い合わせ対応,C8,問い合わせ対応のAI化,A13,primary,A,導入検討,悩み解決,問い合わせ対応をAIで効率化したい,問い合わせ件数が多い担当者,inquiry-handling-ai,"C8代表KW",一次対応をAIに任せる導線,問い合わせ対応効率化の中核
38,問い合わせ対応 AI,C8,問い合わせ対応のAI化,A13,secondary,A,導入検討,悩み解決,問い合わせ対応にAIを使いたい,問い合わせ件数が多い担当者,inquiry-handling-ai,"KW37と語順違いの同義。A13に統合",一次対応をAIに任せる導線,A13本文で併記
39,AIチャット 簡単導入,C9a,簡単・すぐ使えるAIチャット,A11,primary,A,比較検討,導入ガイド,AIチャットを簡単に導入する方法を知りたい,設定が苦手な担当者,ai-chat-easy-setup,"C9a代表。低コスト(A12)とは分離(手間 vs 費用)",難しい設定なしで始める導線,簡単導入の手順記事
40,AIチャット すぐ使える,C9a,簡単・すぐ使えるAIチャット,A11,secondary,A,比較検討,導入ガイド,すぐ使えるAIチャットを探している,早く始めたい担当者,ai-chat-easy-setup,"A11に統合",最短数日で始める導線,A11の早く始める文脈で使用
41,AIチャット 低コスト,C9b,低コスト・費用,A12,primary,A,導入検討,費用,AIチャットを低コストで導入したい・費用相場を知りたい,予算が限られる担当者,ai-chat-low-cost,"C9b代表。簡単導入(A11)とは分離(費用 vs 手間)",小さく低コストで始める導線,費用・料金の考え方記事
42,AIチャット 安く導入,C9b,低コスト・費用,A12,secondary,A,導入検討,費用,AIチャットを安く導入したい,予算が限られる担当者,ai-chat-low-cost,"KW41と同義。A12に統合",安く小さく始める導線,A12本文で併記
43,AI導入 めんどくさい,C10,AI導入がめんどくさい,A04,primary,S,認知,悩み解決,AI導入が面倒で止まっている。手間を減らして始めたい,やる気はあるが手が止まっている担当者,ai-setup-troublesome,"C10代表。面倒の正体を分解し簡単導入(A11)へ送客",面倒を減らして始める導線,共感→分解→解決の悩み解決記事
44,ChatGPT 導入 めんどくさい,C10,AI導入がめんどくさい,A04,secondary,A,認知,悩み解決,ChatGPT導入が面倒に感じる,ChatGPT利用検討中の担当者,ai-setup-troublesome,"A04に統合。A07へ内部リンク",面倒を減らして始める導線,A04本文で使用
45,AIチャット 作る めんどくさい,C10,AI導入がめんどくさい,A04,secondary,A,認知,悩み解決,AIチャットを作るのが面倒,自作を諦めかけた担当者,ai-setup-troublesome,"A04に統合。作るより用意してもらう文脈",作るより用意してもらう導線,A04本文で使用
46,チャットボット 作る めんどくさい,C10,AI導入がめんどくさい,A04,secondary,A,認知,悩み解決,チャットボット作成が面倒,自作を諦めかけた担当者,ai-setup-troublesome,"A04に統合。チャットボットの重さと対比",手軽なAIチャットから始める導線,A04本文で使用
47,AIツール 選べない,C11,AIツールが多すぎて選べない,A14,secondary,A,認知,悩み解決,AIツールが多くて選べない,選定で疲れた担当者,too-many-ai-tools,"KW48と同義。A14に統合。何から始める(A03)と近いが選定疲れに特化",まず1つ小さく試す導線,A14本文で併記
48,AIツール 多すぎる,C11,AIツールが多すぎて選べない,A14,primary,A,認知,悩み解決,AIツールが多すぎてどれがよいか分からない,選定で疲れた担当者,too-many-ai-tools,"C11代表。A03(何から始める)へ内部リンク",まず1つ小さく試す導線,選定疲れを解く悩み解決記事
49,AI 何から始める,C12,AIは何から始める,A03,primary,S,認知,導入ガイド,会社でAIを使いたいが何から始めればよいか分からない,AI未経験の経営者・担当者,ai-how-to-start,"C12代表。導入 何から始めると統合",小さく試す最初の一歩の導線,初心者向けピラー的記事
50,AI導入 何から始める,C12,AIは何から始める,A03,secondary,S,認知,導入ガイド,AI導入を何から始めればよいか知りたい,AI未経験の経営者・担当者,ai-how-to-start,"KW49と同義。A03に統合",最初の一歩の導線,A03本文・見出しで併記
